Data;Produto;Categoria;Qtd;Preco_Unit;Pagamento
2026-01-05;Mouse Gamer RGB;Casa;2;89.90;Pix
2026-01-06;Teclado Mecânico;Escritório;1;180.00;Cartão
2026-01-07;SSD 1TB NVMe;Eletrônicos;3;350.00;Boleto
2026-01-08;Cadeira Gamer;Escritório;1;950.00;Pix
2026-01-09;Webcam Full HD 1080p;Casa;2;160.00;Dinheiro
2026-01-10;Mousepad Gigante 90x40;Casa;5;65.00;Pix
2026-01-11;Headset Gamer 7.1;Casa;1;220.00;Cartão
2026-01-12;SSD 500GB SATA;Eletrônicos;4;280.00;Pix
2026-01-13;Memória RAM 8GB DDR4;Eletrônicos;2;190.00;Boleto
2026-01-14;Placa de Vídeo RTX 3060;Eletrônicos;1;1850.00;Cartão
2026-01-15;Gabinete ATX Vidro Temperado;Casa;1;260.00;Pix
2026-01-16;Fonte 650W 80 Plus;Eletrônicos;1;340.00;Boleto
2026-01-17;Suporte Articulado Monitor;Escritório;2;195.00;Pix
2026-01-18;Mouse Sem Fio;Casa;3;90.00;Dinheiro
2026-01-19;Teclado Sem Fio;Escritório;2;120.00;Cartão
2026-01-20;HD Externo 1TB;Eletrônicos;1;310.00;Pix
2026-01-21;Cooler RGB 120mm;Casa;4;45.00;Boleto
2026-01-22;Water Cooler 240mm;Eletrônicos;1;380.00;Cartão
2026-01-23;Placa-Mãe B550M;Eletrônicos;1;720.00;Pix
2026-01-24;Processador Ryzen 5 5600X;Eletrônicos;1;890.00;Boleto
2026-01-25;Processador Core i5 12ª Geração;Eletrônicos;1;950.00;Cartão
2026-01-26;Notebook 14" i5 8GB;Eletrônicos;1;2499.00;Pix
2026-01-27;Monitor 24" Full HD;Casa;2;650.00;Cartão
2026-01-28;Impressora Multifuncional;Casa;1;480.00;Boleto
2026-01-29;Roteador Wi-Fi 6;Casa;1;210.00;Pix
2026-01-30;Switch 8 Portas;Escritório;1;130.00;Dinheiro
2026-01-31;HD Interno 2TB;Eletrônicos;2;310.00;Pix
2026-02-01;Teclado Mecânico Switch Azul;Escritório;1;180.00;Cartão
2026-02-02;Mouse Gamer RGB;Casa;1;89.90;Pix
2026-02-03;Headset Gamer 7.1;Casa;2;220.00;Boleto
2026-02-04;Webcam Full HD 1080p;Casa;1;160.00;Pix
2026-02-05;Cadeira Escritório;Escritório;1;420.00;Cartão
2026-02-06;Mesa Escritório 1.20m;Escritório;1;380.00;Pix
2026-02-07;Suporte Articulado Monitor;Escritório;1;195.00;Boleto
2026-02-08;SSD 1TB NVMe;Eletrônicos;1;350.00;Pix
2026-02-09;Memória RAM 16GB DDR4;Eletrônicos;2;280.00;Cartão
2026-02-10;Placa de Vídeo RX 6600;Eletrônicos;1;1450.00;Boleto
2026-02-11;Fonte 500W 80 Plus;Eletrônicos;3;250.00;Pix
2026-02-12;Gabinete ATX Vidro Temperado;Casa;1;260.00;Cartão
2026-02-13;Cooler RGB 120mm;Casa;6;45.00;Dinheiro
2026-02-14;Mousepad Gigante 90x40;Casa;4;65.00;Pix
2026-02-15;Teclado Sem Fio;Escritório;3;120.00;Boleto
2026-02-16;Mouse Sem Fio;Casa;2;90.00;Pix
2026-02-17;Monitor 27" 144Hz;Casa;1;980.00;Cartão
2026-02-18;Notebook 14" i5 8GB;Eletrônicos;1;2499.00;Boleto
2026-02-19;HD Externo 2TB;Eletrônicos;1;420.00;Pix
2026-02-20;Roteador Wi-Fi 6;Casa;2;210.00;Dinheiro
2026-02-21;Impressora Multifuncional;Casa;1;480.00;Pix
2026-02-22;Switch 8 Portas;Escritório;2;130.00;Cartão
2026-02-23;SSD 500GB SATA;Eletrônicos;2;280.00;Boleto
2026-02-24;Cadeira Gamer;Escritório;2;950.00;Pix
2026-02-25;Water Cooler 240mm;Eletrônicos;1;380.00;Cartão
